# R (a.u.)            X(1)1Sigma+         A(2)1Sigma+         (3)1Sigma+          (4)1Sigma+          (5)1Sigma+          (6)1Sigma+          (7)1Sigma+          (1)1Pi              (2)1Pi              (3)1Pi              (4)1Pi              (5)1Pi              b(1)3Pi
  0.147831088293E+02 -0.311859039427E+03 -0.234833612848E+04 -0.149605410898E+04 -0.108019943259E+04 -0.212332277529E+04 -0.275687433400E+04 -0.129136345112E+04 -0.405341280671E+03 -0.126027203377E+03 -0.185065425017E+03 -0.554031722792E+03 -0.155333665123E+04 -0.938128458321E+03
  0.148214425316E+02 -0.305556932602E+03 -0.232061127954E+04 -0.147462543587E+04 -0.107480724890E+04 -0.212063715232E+04 -0.276111766969E+04 -0.128264214424E+04 -0.401250039418E+03 -0.122255049971E+03 -0.182568480057E+03 -0.546103565664E+03 -0.153183821480E+04 -0.922524023549E+03
  0.148597696543E+02 -0.299452654180E+03 -0.229302174865E+04 -0.145331767232E+04 -0.106941761997E+04 -0.211835110127E+04 -0.276500991023E+04 -0.127399401017E+04 -0.397195318212E+03 -0.118580519121E+03 -0.180111976688E+03 -0.538307912302E+03 -0.151042431286E+04 -0.907188871774E+03
  0.148980893942E+02 -0.293554146864E+03 -0.226558340049E+04 -0.143213425595E+04 -0.106402909350E+04 -0.211650340085E+04 -0.276850020509E+04 -0.126542648395E+04 -0.393177042268E+03 -0.115001783063E+03 -0.177695294701E+03 -0.530643145244E+03 -0.148910001169E+04 -0.892122296177E+03
  0.149364015815E+02 -0.287755311955E+03 -0.223830605606E+04 -0.141107823701E+04 -0.105864011643E+04 -0.211513159085E+04 -0.277153903852E+04 -0.125694672963E+04 -0.389195044199E+03 -0.111516898784E+03 -0.175317784510E+03 -0.523107480954E+03 -0.146786999153E+04 -0.877319479319E+03
  0.149747066772E+02 -0.282108283543E+03 -0.221119286602E+04 -0.139015221809E+04 -0.105324898824E+04 -0.211426744124E+04 -0.277408288083E+04 -0.124856122883E+04 -0.385248973635E+03 -0.108123591378E+03 -0.172978819403E+03 -0.515698845674E+03 -0.144673844393E+04 -0.862773038916E+03
  0.150130057709E+02 -0.276435860370E+03 -0.218424827246E+04 -0.136935843577E+04 -0.104785390515E+04 -0.211394087869E+04 -0.277609014601E+04 -0.124027616830E+04 -0.381338385633E+03 -0.104819461860E+03 -0.170677754990E+03 -0.508415007300E+03 -0.142570917890E+04 -0.848476850303E+03
  0.150513005755E+02 -0.270964839917E+03 -0.215748690980E+04 -0.134869880161E+04 -0.104245304637E+04 -0.211417180549E+04 -0.277752979765E+04 -0.123209752049E+04 -0.377462863711E+03 -0.101602250138E+03 -0.168413892717E+03 -0.501253695862E+03 -0.140478580257E+04 -0.834429814549E+03
  0.150895932020E+02 -0.265662357915E+03 -0.213090862958E+04 -0.132817503312E+04 -0.103704464138E+04 -0.211496487928E+04 -0.277838680893E+04 -0.122403105596E+04 -0.373622090534E+03 -0.984699526958E+02 -0.166186483859E+03 -0.494212685956E+03 -0.138397191662E+04 -0.820624786288E+03
  0.151278858192E+02 -0.260452778165E+03 -0.210451585081E+04 -0.130778882751E+04 -0.103162691463E+04 -0.211632146302E+04 -0.277864952653E+04 -0.121608249997E+04 -0.369815748710E+03 -0.954205959213E+02 -0.163994785996E+03 -0.487289765962E+03 -0.136327111591E+04 -0.807055919333E+03
  0.151661806262E+02 -0.255375884585E+03 -0.207832844433E+04 -0.128754172667E+04 -0.102619804078E+04 -0.211822310273E+04 -0.277832624767E+04 -0.120825717900E+04 -0.366043402467E+03 -0.924521502752E+02 -0.161838102688E+03 -0.480482643955E+03 -0.134268686906E+04 -0.793724938768E+03
  0.152044798543E+02 -0.250268953001E+03 -0.205234164946E+04 -0.126743519563E+04 -0.102075616331E+04 -0.212064055812E+04 -0.277743612072E+04 -0.120056021424E+04 -0.362304553429E+03 -0.895625622775E+02 -0.159715765245E+03 -0.473788992958E+03 -0.132222258218E+04 -0.780622648603E+03
  0.152427857685E+02 -0.245362083449E+03 -0.202654996163E+04 -0.124747066235E+04 -0.101529944851E+04 -0.212354068110E+04 -0.277600252573E+04 -0.119299663508E+04 -0.358598756835E+03 -0.867498176696E+02 -0.157627108607E+03 -0.467206547622E+03 -0.130188172267E+04 -0.767740684901E+03
  0.152811006694E+02 -0.240586414204E+03 -0.200096530765E+04 -0.122764942163E+04 -0.100982614284E+04 -0.212687937390E+04 -0.277406073323E+04 -0.118557117127E+04 -0.354925713294E+03 -0.840119865481E+02 -0.155571466385E+03 -0.460733182006E+03 -0.128166791062E+04 -0.755079840977E+03
  0.153194268954E+02 -0.235917328509E+03 -0.197559740608E+04 -0.120797276021E+04 -0.100433449708E+04 -0.213061065635E+04 -0.277164803831E+04 -0.117828851364E+04 -0.351285146316E+03 -0.813471675064E+02 -0.153548176262E+03 -0.454366806670E+03 -0.126158480561E+04 -0.742637501653E+03
  0.153577668243E+02 -0.231220162308E+03 -0.195044592112E+04 -0.118844195961E+04 -0.998822739891E+03 -0.213468875978E+04 -0.276880151268E+04 -0.117115306387E+04 -0.347676644209E+03 -0.787535397091E+02 -0.151556580672E+03 -0.448105291847E+03 -0.124163601534E+04 -0.730407416214E+03
  0.153961228756E+02 -0.226717802898E+03 -0.192550147644E+04 -0.116905829782E+04 -0.993289076677E+03 -0.213906809739E+04 -0.276555802815E+04 -0.116416894276E+04 -0.344099662037E+03 -0.762293610305E+02 -0.149596026526E+03 -0.441946467419E+03 -0.122182509938E+04 -0.718381663630E+03
  0.154344975126E+02 -0.222329186672E+03 -0.190077439384E+04 -0.114982305464E+04 -0.987731723981E+03 -0.214370419534E+04 -0.276195344326E+04 -0.115734021897E+04 -0.340553691707E+03 -0.737729084465E+02 -0.147665873742E+03 -0.435888185778E+03 -0.120215563556E+04 -0.706559141078E+03
  0.154728932451E+02 -0.218023142270E+03 -0.187627216427E+04 -0.113073742400E+04 -0.982149025828E+03 -0.214855871349E+04 -0.275801821394E+04 -0.115067056650E+04 -0.337038441281E+03 -0.713824983718E+02 -0.145765532994E+03 -0.429928367300E+03 -0.118263120356E+04 -0.694938096936E+03
  0.155113126315E+02 -0.213816062899E+03 -0.185198849740E+04 -0.111180258673E+04 -0.976539357138E+03 -0.215359537803E+04 -0.275378094060E+04 -0.114416355500E+04 -0.333553693476E+03 -0.690564667310E+02 -0.143894434383E+03 -0.424064964531E+03 -0.116325540506E+04 -0.683512350722E+03
  0.155497582808E+02 -0.209580258805E+03 -0.182792332284E+04 -0.109301965381E+04 -0.970901031553E+03 -0.215878099983E+04 -0.274926715679E+04 -0.113782256380E+04 -0.330099147261E+03 -0.667931742610E+02 -0.142051981768E+03 -0.418295998934E+03 -0.114403183432E+04 -0.672276786966E+03
  0.155882327956E+02 -0.205532690457E+03 -0.180408031833E+04 -0.107438962630E+04 -0.965232277507E+03 -0.216408774269E+04 -0.274449711007E+04 -0.113165061992E+04 -0.326674359155E+03 -0.645910208043E+02 -0.140237533377E+03 -0.412619609732E+03 -0.112496407997E+04 -0.661228168322E+03
  0.156267386703E+02 -0.201574322211E+03 -0.178046357601E+04 -0.105591358765E+04 -0.959531341022E+03 -0.216948865840E+04 -0.273949017212E+04 -0.112565074239E+04 -0.323278898185E+03 -0.624484326828E+02 -0.138450463139E+03 -0.407033974829E+03 -0.110605583513E+04 -0.650364771552E+03
  0.156652782813E+02 -0.197694403374E+03 -0.175707032195E+04 -0.103759265831E+04 -0.953796704453E+03 -0.217496152493E+04 -0.273426165278E+04 -0.111982555583E+04 -0.319912460840E+03 -0.603639334366E+02 -0.136690265561E+03 -0.401537249680E+03 -0.108731083471E+04 -0.639681956129E+03
  0.157038538866E+02 -0.193894354098E+03 -0.173389888039E+04 -0.101942802300E+04 -0.948026994392E+03 -0.218048691331E+04 -0.272882443966E+04 -0.111417747623E+04 -0.316574826924E+03 -0.583361093518E+02 -0.134956511314E+03 -0.396127586920E+03 -0.106873288853E+04 -0.629175415630E+03
  0.157424676256E+02 -0.190072684388E+03 -0.171095341280E+04 -0.100142093002E+04 -0.942220814027E+03 -0.218604642473E+04 -0.272319031022E+04 -0.110870877838E+04 -0.313265754792E+03 -0.563635677405E+02 -0.133248741161E+03 -0.390803194599E+03 -0.105032585952E+04 -0.618843212098E+03
  0.157811215178E+02 -0.186429413183E+03 -0.168823633153E+04 -0.983572607308E+03 -0.936376680239E+03 -0.219162483733E+04 -0.271736774795E+04 -0.110342118237E+04 -0.309984901791E+03 -0.544449517581E+02 -0.131566384310E+03 -0.385562389455E+03 -0.103209352364E+04 -0.608682894592E+03
  0.158198174617E+02 -0.182854871479E+03 -0.166574633515E+04 -0.965884361757E+03 -0.930493103627E+03 -0.219720752176E+04 -0.271136458735E+04 -0.109831634074E+04 -0.306731921802E+03 -0.525789209212E+02 -0.129908859602E+03 -0.380403529225E+03 -0.101403973636E+04 -0.598690487336E+03
  0.158585572333E+02 -0.179356178671E+03 -0.164347799956E+04 -0.948357585917E+03 -0.924568726262E+03 -0.220278176129E+04 -0.270518722038E+04 -0.109339561603E+04 -0.303506551034E+03 -0.507642046217E+02 -0.128275691412E+03 -0.375325021566E+03 -0.996168376668E+03 -0.588860286158E+03
  0.158973424841E+02 -0.175916145753E+03 -0.162143247855E+04 -0.930993757181E+03 -0.918602319158E+03 -0.220833669983E+04 -0.269884063636E+04 -0.108866008647E+04 -0.300308606067E+03 -0.489995993181E+02 -0.126666506851E+03 -0.370325321566E+03 -0.978483349028E+03 -0.579190444021E+03
  0.159361747393E+02 -0.172469564957E+03 -0.159961459769E+04 -0.913794372546E+03 -0.912592682985E+03 -0.221386180328E+04 -0.269232951405E+04 -0.108411072299E+04 -0.297137911176E+03 -0.472839108055E+02 -0.125080923737E+03 -0.365402919213E+03 -0.960988613426E+03 -0.569680740055E+03
  0.159750553949E+02 -0.169186281330E+03 -0.157802832987E+04 -0.896760638357E+03 -0.906538710983E+03 -0.221934811601E+04 -0.268565716329E+04 -0.107974782831E+04 -0.293994257380E+03 -0.456159561477E+02 -0.123518467105E+03 -0.360556393882E+03 -0.943687947962E+03 -0.560329557332E+03
  0.160139857153E+02 -0.165956096957E+03 -0.155666871630E+04 -0.879893736346E+03 -0.900439333131E+03 -0.222478712120E+04 -0.267882648105E+04 -0.107557151885E+04 -0.290877434914E+03 -0.439945571116E+02 -0.121978637933E+03 -0.355784362817E+03 -0.926585151612E+03 -0.551131731830E+03
  0.160529668316E+02 -0.162800081416E+03 -0.153552913350E+04 -0.863195018389E+03 -0.894293553521E+03 -0.223017096862E+04 -0.267183978649E+04 -0.107158161679E+04 -0.287787261845E+03 -0.424185126033E+02 -0.120461008199E+03 -0.351085420747E+03 -0.909683984769E+03 -0.542081885067E+03
  0.160919998044E+02 -0.159678938536E+03 -0.151461351781E+04 -0.846666014036E+03 -0.888100469974E+03 -0.223549282798E+04 -0.266469853360E+04 -0.106777748979E+04 -0.284723585418E+03 -0.408865837224E+02 -0.118965248488E+03 -0.346458113497E+03 -0.892988070116E+03 -0.533179787769E+03
  0.161310857174E+02 -0.156575467504E+03 -0.149392282105E+04 -0.830308248139E+03 -0.881859187317E+03 -0.224074599680E+04 -0.265740406597E+04 -0.106415841138E+04 -0.281686254451E+03 -0.393975623908E+02 -0.117491029709E+03 -0.341901008498E+03 -0.876501014563E+03 -0.524423762919E+03
  0.161702256860E+02 -0.153612809746E+03 -0.147345559491E+04 -0.814122995841E+03 -0.875568890961E+03 -0.224592446755E+04 -0.264995743709E+04 -0.106072316636E+04 -0.278675115230E+03 -0.379505365351E+02 -0.116037975795E+03 -0.337412911859E+03 -0.860226163167E+03 -0.515810797840E+03
  0.162094208583E+02 -0.150693240081E+03 -0.145321548481E+04 -0.798111427387E+03 -0.869228796061E+03 -0.225102252423E+04 -0.264235956084E+04 -0.105747031548E+04 -0.275690012336E+03 -0.365447266630E+02 -0.114605688090E+03 -0.332992735232E+03 -0.844166760849E+03 -0.507339774665E+03
  0.162486724158E+02 -0.147845534569E+03 -0.143320156417E+04 -0.782274677476E+03 -0.862838180830E+03 -0.225603477226E+04 -0.263461107460E+04 -0.105439813832E+04 -0.272730747613E+03 -0.351792572595E+02 -0.113193775129E+03 -0.328639298420E+03 -0.828325878860E+03 -0.499008028118E+03
  0.162879815745E+02 -0.145008011382E+03 -0.141340777161E+04 -0.766613793574E+03 -0.856396463476E+03 -0.226095651065E+04 -0.262671207095E+04 -0.105150434959E+04 -0.269797037533E+03 -0.338530620950E+02 -0.111801862251E+03 -0.324351240833E+03 -0.812706203309E+03 -0.490811234956E+03
  0.163273495862E+02 -0.142219621303E+03 -0.139383281417E+04 -0.751129813310E+03 -0.849903071217E+03 -0.226578311136E+04 -0.261866255787E+04 -0.104878655511E+04 -0.266888605928E+03 -0.325650545008E+02 -0.110429578647E+03 -0.320127189767E+03 -0.797310376018E+03 -0.482747302633E+03
  0.163667777392E+02 -0.139541860378E+03 -0.137447774725E+04 -0.735823631888E+03 -0.843357458125E+03 -0.227051023406E+04 -0.261046248342E+04 -0.104624196720E+04 -0.264005375334E+03 -0.313142265747E+02 -0.109076590528E+03 -0.315965939675E+03 -0.782140754288E+03 -0.474814572624E+03
  0.164062673599E+02 -0.136903114058E+03 -0.135534436200E+04 -0.720696065810E+03 -0.836759089127E+03 -0.227513369317E+04 -0.260211175102E+04 -0.104386755546E+04 -0.261147388424E+03 -0.300996156025E+02 -0.107742585698E+03 -0.311866383243E+03 -0.767199537794E+03 -0.467011097635E+03
  0.164458198138E+02 -0.134330947234E+03 -0.133643188859E+04 -0.705747963374E+03 -0.830107496560E+03 -0.227964941388E+04 -0.259361020934E+04 -0.104166018855E+04 -0.258314571984E+03 -0.289202993231E+02 -0.106427232445E+03 -0.307827400256E+03 -0.752488778258E+03 -0.459335950923E+03
  0.164854365067E+02 -0.131748077966E+03 -0.131773738018E+04 -0.690980230227E+03 -0.823402402528E+03 -0.228405366440E+04 -0.258495759950E+04 -0.103961650687E+04 -0.255506554061E+03 -0.277754647943E+02 -0.105130151555E+03 -0.303847843767E+03 -0.738010107469E+03 -0.451787150903E+03
  0.165251188865E+02 -0.129247927480E+03 -0.129925625108E+04 -0.676393765322E+03 -0.816643557247E+03 -0.228834275237E+04 -0.257615361047E+04 -0.103773307478E+04 -0.252722931780E+03 -0.266643095173E+02 -0.103850959218E+03 -0.299926558054E+03 -0.723765089651E+03 -0.444359849209E+03
  0.165648684440E+02 -0.126820698722E+03 -0.128098821175E+04 -0.661989058401E+03 -0.809830812919E+03 -0.229251326772E+04 -0.256719769686E+04 -0.103600609316E+04 -0.249963535708E+03 -0.255859940786E+02 -0.102589334243E+03 -0.296062399325E+03 -0.709754930051E+03 -0.437051845925E+03
  0.166046867149E+02 -0.124444022478E+03 -0.126293460976E+04 -0.647766312199E+03 -0.802964091255E+03 -0.229656198788E+04 -0.255808913757E+04 -0.103443149592E+04 -0.247228363060E+03 -0.245396509411E+02 -0.101344999566E+03 -0.292254230019E+03 -0.695980586690E+03 -0.429862496371E+03
  0.166445752807E+02 -0.122050927712E+03 -0.124509286293E+04 -0.633725856750E+03 -0.796043351658E+03 -0.230048566799E+04 -0.254882737068E+04 -0.103300520179E+04 -0.244517356131E+03 -0.235244179495E+02 -0.100117675882E+03 -0.288500955386E+03 -0.682442896802E+03 -0.422789912063E+03
  0.166845357707E+02 -0.119758981586E+03 -0.122746145390E+04 -0.619868375753E+03 -0.789068675218E+03 -0.230428106656E+04 -0.253941234902E+04 -0.103172314769E+04 -0.241830289183E+03 -0.225394604302E+02 -0.989070777249E+02 -0.284801615374E+03 -0.669142319371E+03 -0.415832185218E+03
  0.167245698638E+02 -0.117516922429E+03 -0.121003953555E+04 -0.606194592973E+03 -0.782040163762E+03 -0.230794492300E+04 -0.252984406714E+04 -0.103058123915E+04 -0.239166907508E+03 -0.215839529701E+02 -0.977129133081E+02 -0.281155265358E+03 -0.656079230634E+03 -0.408987277754E+03
  0.167646792901E+02 -0.115319426005E+03 -0.119282114742E+04 -0.592704684950E+03 -0.774958009654E+03 -0.231147421310E+04 -0.252012207233E+04 -0.102957518991E+04 -0.236526981507E+03 -0.206571983078E+02 -0.965348362735E+02 -0.277560907759E+03 -0.643253514060E+03 -0.402251536908E+03
  0.168048658328E+02 -0.113158160681E+03 -0.117580457715E+04 -0.579398420681E+03 -0.767822471157E+03 -0.231486607725E+04 -0.251024556669E+04 -0.102870056016E+04 -0.233910300151E+03 -0.197585942744E+02 -0.953724584687E+02 -0.274017503145E+03 -0.630664687363E+03 -0.395623241211E+03
  0.168451313305E+02 -0.110993653974E+03 -0.115899538166E+04 -0.566275695348E+03 -0.760633861364E+03 -0.231811766029E+04 -0.250021382279E+04 -0.102795292785E+04 -0.231316663290E+03 -0.188874869739E+02 -0.942254349705E+02 -0.270524032152E+03 -0.618312225670E+03 -0.389103608679E+03
  0.168854776793E+02 -0.108929825215E+03 -0.114238975010E+04 -0.553336766226E+03 -0.753392657209E+03 -0.232122619087E+04 -0.249002639436E+04 -0.102732799168E+04 -0.228745902148E+03 -0.180430772699E+02 -0.930935509420E+02 -0.267079548153E+03 -0.606195480912E+03 -0.382689237544E+03
  0.169259068347E+02 -0.106896684527E+03 -0.112598231648E+04 -0.540581936075E+03 -0.746099373090E+03 -0.232418888246E+04 -0.247968286580E+04 -0.102682145318E+04 -0.226197852642E+03 -0.172245445656E+02 -0.919766092957E+02 -0.263683115219E+03 -0.594313744592E+03 -0.376376477351E+03
  0.169664208145E+02 -0.104911920009E+03 -0.110977488266E+04 -0.528011092170E+03 -0.738754690423E+03 -0.232700304915E+04 -0.246918289323E+04 -0.102642912806E+04 -0.223672346903E+03 -0.164311854729E+02 -0.908743601254E+02 -0.260333840751E+03 -0.582665663021E+03 -0.370166267923E+03
  0.170070217009E+02 -0.102932931203E+03 -0.109376524325E+04 -0.515623834936E+03 -0.731359406900E+03 -0.232966605850E+04 -0.245852617248E+04 -0.102614689983E+04 -0.221169214164E+03 -0.156623769587E+02 -0.897865157977E+02 -0.257030860236E+03 -0.571249431555E+03 -0.364056487610E+03
  0.170477116426E+02 -0.100990885571E+03 -0.107794814463E+04 -0.503419771009E+03 -0.723914320858E+03 -0.233217522674E+04 -0.244771236773E+04 -0.102597061611E+04 -0.218688282865E+03 -0.149174925833E+02 -0.887127855288E+02 -0.253773302957E+03 -0.560063237870E+03 -0.358043019333E+03
  0.170884926019E+02 -0.991210482655E+02 -0.106232149930E+04 -0.491398594378E+03 -0.716420276009E+03 -0.233452779996E+04 -0.243674117794E+04 -0.102589608477E+04 -0.216229395973E+03 -0.141959049805E+02 -0.876528825656E+02 -0.250560310919E+03 -0.549105338857E+03 -0.352124997775E+03
  0.171293657246E+02 -0.972788524894E+02 -0.104688504665E+04 -0.479560257051E+03 -0.708878306103E+03 -0.233672094429E+04 -0.242561251644E+04 -0.102591910158E+04 -0.213792441493E+03 -0.134970061221E+02 -0.866065441235E+02 -0.247391089549E+03 -0.538374169846E+03 -0.346301659547E+03
  0.171703312111E+02 -0.954803877410E+02 -0.103163958727E+04 -0.467904939594E+03 -0.701289895070E+03 -0.233875193127E+04 -0.241432659064E+04 -0.102603573244E+04 -0.211377303530E+03 -0.128202996940E+02 -0.855735719724E+02 -0.244264946274E+03 -0.527867939047E+03 -0.340571443513E+03
  0.172113882756E+02 -0.936682630676E+02 -0.101658493764E+04 -0.456433057610E+03 -0.693656879006E+03 -0.234061807257E+04 -0.240288391674E+04 -0.102624216375E+04 -0.208983887472E+03 -0.121653543083E+02 -0.845538134750E+02 -0.241181271368E+03 -0.517584801723E+03 -0.334933273498E+03
  0.172525351038E+02 -0.919316383161E+02 -0.100171956886E+04 -0.445145135890E+03 -0.685981328913E+03 -0.234231667219E+04 -0.239128552977E+04 -0.102653459742E+04 -0.206612219016E+03 -0.115316721275E+02 -0.835471645103E+02 -0.238139506357E+03 -0.507523022489E+03 -0.329386191028E+03
  0.172937688119E+02 -0.902319353635E+02 -0.987040348465E+03 -0.434041678238E+03 -0.678265571178E+03 -0.234384507958E+04 -0.237953317813E+04 -0.102690931039E+04 -0.204262499296E+03 -0.109186260684E+02 -0.825535913328E+02 -0.235139134517E+03 -0.497680899993E+03 -0.323929001841E+03
  0.173350854064E+02 -0.885674469057E+02 -0.972547985140E+03 -0.423123370429E+03 -0.670512196516E+03 -0.234520065360E+04 -0.236762894400E+04 -0.102736254558E+04 -0.201934971359E+03 -0.103255928358E+02 -0.815730548698E+02 -0.232179725395E+03 -0.488056814047E+03 -0.318560488534E+03
  0.173764797477E+02 -0.869242480995E+02 -0.958244993055E+03 -0.412391059732E+03 -0.662724183576E+03 -0.234638081722E+04 -0.235557478638E+04 -0.102789069315E+04 -0.199629776366E+03 -0.975206273685E+01 -0.806053428816E+02 -0.229261120142E+03 -0.478648971359E+03 -0.313279697934E+03
  0.174179455183E+02 -0.852895914626E+02 -0.944130586411E+03 -0.401845753234E+03 -0.654904824395E+03 -0.234738306086E+04 -0.234337289668E+04 -0.102849014462E+04 -0.197347046171E+03 -0.919757415560E+01 -0.796501895772E+02 -0.226383291323E+03 -0.469455559939E+03 -0.308086564021E+03
  0.174594751974E+02 -0.837276696892E+02 -0.930206938802E+03 -0.391488503999E+03 -0.647057752214E+03 -0.234820509631E+04 -0.233102638250E+04 -0.102915736962E+04 -0.195087043504E+03 -0.866183427272E+01 -0.787075441490E+02 -0.223546108053E+03 -0.460474870869E+03 -0.302981573328E+03
  0.175010600431E+02 -0.821890742308E+02 -0.916478971690E+03 -0.381320365803E+03 -0.639186959412E+03 -0.234884491573E+04 -0.231853938571E+04 -0.102988894900E+04 -0.192850177174E+03 -0.814475243633E+01 -0.777776111062E+02 -0.220749301001E+03 -0.451705282794E+03 -0.297965147859E+03
  0.175426900852E+02 -0.806898627751E+02 -0.902942673582E+03 -0.371342493430E+03 -0.631296717523E+03 -0.234930063503E+04 -0.230591650756E+04 -0.103068142759E+04 -0.190636883537E+03 -0.764610435045E+01 -0.768605683158E+02 -0.217992694595E+03 -0.443145137064E+03 -0.293034774707E+03
  0.175843545713E+02 -0.791847308231E+02 -0.889595647289E+03 -0.361556028261E+03 -0.623391511093E+03 -0.234957045901E+04 -0.229316246733E+04 -0.103153146484E+04 -0.188447539140E+03 -0.716512811889E+01 -0.759563906033E+02 -0.215276371661E+03 -0.434792443278E+03 -0.288188852725E+03
  0.176260436330E+02 -0.777349784996E+02 -0.876444865839E+03 -0.351961683579E+03 -0.615475698445E+03 -0.234965277705E+04 -0.228028179841E+04 -0.103243572450E+04 -0.186282432967E+03 -0.670094542133E+01 -0.750649739051E+02 -0.212600362841E+03 -0.426644746553E+03 -0.283429539170E+03
  0.176677487113E+02 -0.763247728305E+02 -0.863491082084E+03 -0.342559503532E+03 -0.607553563824E+03 -0.234954637015E+04 -0.226727892814E+04 -0.103339098377E+04 -0.184141806173E+03 -0.625316604106E+01 -0.741862156369E+02 -0.209964471951E+03 -0.418699244814E+03 -0.278756604438E+03
  0.177094625939E+02 -0.749437209473E+02 -0.850730591871E+03 -0.333348940290E+03 -0.599629259688E+03 -0.234925032093E+04 -0.225415809258E+04 -0.103439410960E+04 -0.182025842370E+03 -0.582174659632E+01 -0.733200051491E+02 -0.207368310488E+03 -0.410952792321E+03 -0.274168018904E+03
  0.177511794408E+02 -0.735871087178E+02 -0.838162690140E+03 -0.324328983919E+03 -0.591706619600E+03 -0.234876377475E+04 -0.224092314547E+04 -0.103544208907E+04 -0.179934614006E+03 -0.540645556751E+01 -0.724662380106E+02 -0.204811447156E+03 -0.403401817671E+03 -0.269662609538E+03
  0.177928947992E+02 -0.722334762933E+02 -0.825787006436E+03 -0.315498166106E+03 -0.583789079597E+03 -0.234808584995E+04 -0.222757749601E+04 -0.103653216703E+04 -0.177868057625E+03 -0.500668415442E+01 -0.716248630236E+02 -0.202293492617E+03 -0.396042318225E+03 -0.265239237727E+03
  0.178346056118E+02 -0.709439193450E+02 -0.813602586434E+03 -0.306854654853E+03 -0.575879809363E+03 -0.234721574652E+04 -0.221412415107E+04 -0.103766167084E+04 -0.175826028430E+03 -0.462178979558E+01 -0.707957842479E+02 -0.199813956570E+03 -0.388869977528E+03 -0.260896659887E+03
  0.178763102183E+02 -0.696752749008E+02 -0.801607403446E+03 -0.298396351038E+03 -0.567981826694E+03 -0.234615298746E+04 -0.220056576185E+04 -0.103882816534E+04 -0.173808331971E+03 -0.425131138201E+01 -0.699787211802E+02 -0.197372118833E+03 -0.381880285821E+03 -0.256634482160E+03
  0.179180083530E+02 -0.684400820134E+02 -0.789798871680E+03 -0.290120877815E+03 -0.560097931669E+03 -0.234489720728E+04 -0.218690456752E+04 -0.104002933887E+04 -0.171814715778E+03 -0.389485431766E+01 -0.691733067365E+02 -0.194967121180E+03 -0.375068524042E+03 -0.252451847885E+03
  0.179597011418E+02 -0.672028263873E+02 -0.778174426752E+03 -0.282025458977E+03 -0.552230719737E+03 -0.234344798894E+04 -0.217314244360E+04 -0.104126295415E+04 -0.169844919560E+03 -0.355196976274E+01 -0.683793167249E+02 -0.192598152532E+03 -0.368429869485E+03 -0.248345526867E+03
  0.180013910979E+02 -0.660068548415E+02 -0.766729609301E+03 -0.274106923727E+03 -0.544382596998E+03 -0.234180483020E+04 -0.215928090481E+04 -0.104252685894E+04 -0.167898690422E+03 -0.322214819419E+01 -0.675967047688E+02 -0.190264479543E+03 -0.361959446378E+03 -0.244313131174E+03
  0.180430821221E+02 -0.648456784251E+02 -0.755458327538E+03 -0.266361910996E+03 -0.536555662589E+03 -0.233996712717E+04 -0.214532095325E+04 -0.104381903392E+04 -0.165975655564E+03 -0.290491807873E+01 -0.668253245428E+02 -0.187965304194E+03 -0.355652195242E+03 -0.240353531501E+03
  0.180847791817E+02 -0.637081638522E+02 -0.744357183366E+03 -0.258787041464E+03 -0.528751627417E+03 -0.233793418394E+04 -0.213126309151E+04 -0.104513779014E+04 -0.164075163278E+03 -0.259997878735E+01 -0.660646920722E+02 -0.185699760963E+03 -0.349502864401E+03 -0.236464988907E+03
  0.181264871468E+02 -0.625655775318E+02 -0.733424510005E+03 -0.251379044674E+03 -0.520972197688E+03 -0.233570524067E+04 -0.211710779996E+04 -0.104648151340E+04 -0.162196548579E+03 -0.230705002713E+01 -0.653142819890E+02 -0.183466996788E+03 -0.343506292912E+03 -0.232645710897E+03
  0.181682105309E+02 -0.614770770194E+02 -0.722659528433E+03 -0.244134624889E+03 -0.513219267403E+03 -0.233327967565E+04 -0.210285579095E+04 -0.104784861495E+04 -0.160339511809E+03 -0.202552778343E+01 -0.645739065316E+02 -0.181266149595E+03 -0.337657789224E+03 -0.228894351927E+03
  0.182099534961E+02 -0.604068883376E+02 -0.712057484058E+03 -0.237050498544E+03 -0.505494887368E+03 -0.233065695181E+04 -0.208850796866E+04 -0.104923752108E+04 -0.158504015002E+03 -0.175458370927E+01 -0.638436167705E+02 -0.179096358763E+03 -0.331953013838E+03 -0.225208956685E+03
  0.182517198547E+02 -0.593626630625E+02 -0.701610316609E+03 -0.230123541580E+03 -0.497801089099E+03 -0.232783653415E+04 -0.207406525033E+04 -0.105064674914E+04 -0.156689809919E+03 -0.149372256014E+01 -0.631233061356E+02 -0.176956828037E+03 -0.326387640238E+03 -0.221587124244E+03
  0.182935130714E+02 -0.583214542853E+02 -0.691316940446E+03 -0.223350829886E+03 -0.490139777390E+03 -0.232481794837E+04 -0.205952848715E+04 -0.105207500487E+04 -0.154896190064E+03 -0.124312325022E+01 -0.624125305755E+02 -0.174846860864E+03 -0.320957253546E+03 -0.218028340492E+03
  0.183353362624E+02 -0.573029188248E+02 -0.681178182100E+03 -0.216729543420E+03 -0.482512966069E+03 -0.232160065588E+04 -0.204489864746E+04 -0.105352098715E+04 -0.153122489677E+03 -0.100295066057E+01 -0.617108567490E+02 -0.172765804061E+03 -0.315657557099E+03 -0.214532280683E+03
