# R (a.u.)            X(1)1Sigma+         A(2)1Sigma+         (3)1Sigma+          (4)1Sigma+          (5)1Sigma+          (6)1Sigma+          (7)1Sigma+          (1)1Pi              (2)1Pi              (3)1Pi              (4)1Pi              (5)1Pi              b(1)3Pi
  0.619836335206E+01  0.264326548667E+03  0.422038932800E+04  0.334551959511E+04  0.605152744415E+04  0.354833618736E+04  0.536787469520E+04  0.528592505045E+04  0.365682669411E+04  0.431985928437E+04  0.430721625120E+04  0.319960730284E+04  0.346522530067E+04 -0.318286997047E+04
  0.622332915511E+01  0.145879447092E+03  0.396410063443E+04  0.320389663155E+04  0.585847590784E+04  0.337180150579E+04  0.518908032823E+04  0.510977194778E+04  0.351644293157E+04  0.418539477401E+04  0.415349330657E+04  0.306892609758E+04  0.328924851231E+04 -0.329891204297E+04
  0.624829494802E+01  0.316524107658E+02  0.371496760987E+04  0.306583820430E+04  0.567033995970E+04  0.319933050238E+04  0.501376867266E+04  0.493659854709E+04  0.337951127751E+04  0.405512173810E+04  0.400411398561E+04  0.294196507469E+04  0.311727475139E+04 -0.340997127038E+04
  0.627326073275E+01 -0.801952507013E+02  0.347254106057E+04  0.293120431795E+04  0.548697909321E+04  0.303079608103E+04  0.484185066285E+04  0.476642491936E+04  0.324591456420E+04  0.392886697972E+04  0.385894807909E+04  0.281858209109E+04  0.294918614766E+04 -0.351676609339E+04
  0.629822651167E+01 -0.189734104454E+03  0.323700495094E+04  0.279985497772E+04  0.530825280189E+04  0.286607114562E+04  0.467323723144E+04  0.459927112816E+04  0.311553562300E+04  0.380645730158E+04  0.371786537697E+04  0.269863500318E+04  0.278486482954E+04 -0.361961425616E+04
  0.632319228755E+01 -0.296660559359E+03  0.300788769113E+04  0.267165275111E+04  0.513402277863E+04  0.270503086522E+04  0.450783997716E+04  0.443515102728E+04  0.298825728462E+04  0.368771950614E+04  0.358073566872E+04  0.258198166691E+04  0.262419292447E+04 -0.371903144051E+04
  0.634815806359E+01 -0.403727260253E+03  0.278487666607E+04  0.254647289972E+04  0.496416161325E+04  0.254756163247E+04  0.434557380308E+04  0.427404771897E+04  0.286396237918E+04  0.357248039574E+04  0.344742874353E+04  0.246847993797E+04  0.246705255905E+04 -0.381538903760E+04
  0.637312384340E+01 -0.508774769196E+03  0.256793915049E+04  0.242419460805E+04  0.479854526312E+04  0.239355330824E+04  0.418635463279E+04  0.411593480108E+04  0.274253373633E+04  0.346056677269E+04  0.331781439036E+04  0.235798767187E+04  0.231332585909E+04 -0.390887581181E+04
  0.639808963099E+01 -0.608912914690E+03  0.235697543404E+04  0.230469706127E+04  0.463704968629E+04  0.224289575389E+04  0.403009838942E+04  0.396078586783E+04  0.262385418537E+04  0.335180543927E+04  0.319176239819E+04  0.225036272395E+04  0.216289494989E+04 -0.399966012160E+04
  0.642305543079E+01 -0.706620397444E+03  0.215172352848E+04  0.218786399224E+04  0.447955441050E+04  0.209548264056E+04  0.387672363067E+04  0.380857179853E+04  0.250780655519E+04  0.324602319776E+04  0.306914255606E+04  0.214546294942E+04  0.201564195619E+04 -0.408794318623E+04
  0.644802124767E+01 -0.802728120030E+03  0.195186732990E+04  0.207360203732E+04  0.432595694180E+04  0.195122682832E+04  0.372616218601E+04  0.365924980273E+04  0.239427367438E+04  0.314304685037E+04  0.294982465302E+04  0.204314620333E+04  0.187144900228E+04 -0.417391607216E+04
  0.647298708686E+01 -0.896639264606E+03  0.175737871076E+04  0.196182502676E+04  0.417616043337E+04  0.181004720429E+04  0.357835005322E+04  0.351277279612E+04  0.228313837120E+04  0.304270319912E+04  0.283367847835E+04  0.194327034053E+04  0.173019821203E+04 -0.425762108314E+04
  0.649795295405E+01 -0.988008483568E+03  0.156807058643E+04  0.185244679322E+04  0.403006804067E+04  0.167186265765E+04  0.343322323114E+04  0.336909369270E+04  0.217428347346E+04  0.294481904574E+04  0.272057382141E+04  0.184569321557E+04  0.159177170892E+04 -0.433915270195E+04
  0.652291885533E+01 -0.107834825014E+04  0.138376243561E+04  0.174538116921E+04  0.388758291960E+04  0.153659207755E+04  0.329071771829E+04  0.322816540631E+04  0.206760834548E+04  0.284923524287E+04  0.261039675766E+04  0.175028854777E+04  0.145606472547E+04 -0.441858662778E+04
  0.654788479693E+01 -0.116873814210E+04  0.120446165543E+04  0.164054198814E+04  0.374860822789E+04  0.140415435446E+04  0.315076951434E+04  0.308994085224E+04  0.196309702777E+04  0.275586459256E+04  0.250311675452E+04  0.165701129318E+04  0.132303962116E+04 -0.449590814059E+04
  0.657285078398E+01 -0.125576377600E+04  0.102977518183E+04  0.153784308940E+04  0.361304713187E+04  0.127446838673E+04  0.301331462710E+04  0.295437295411E+04  0.186076059690E+04  0.266464286926E+04  0.239872990599E+04  0.156584234518E+04  0.119268019107E+04 -0.457126977329E+04
  0.659781682005E+01 -0.133932514486E+04  0.859622135606E+03  0.143719831937E+04  0.348080280774E+04  0.114745308184E+04  0.287828907394E+04  0.282141464536E+04  0.176061014924E+04  0.257550586395E+04  0.229723232621E+04  0.147676261545E+04  0.106497024946E+04 -0.464468104054E+04
  0.662278290716E+01 -0.142145576181E+04  0.694044377250E+03  0.133852510275E+04  0.335178108994E+04  0.102303024674E+04  0.274563113536E+04  0.269101869143E+04  0.166264784531E+04  0.248838393139E+04  0.219861138981E+04  0.138974524316E+04  0.939887006787E+03 -0.471610032126E+04
